capitol of Afghanistan?	Kabul
capitol of Albania?	Tirana
capitol of Algeria?	Algiers
capitol of Andorra?	AndorralaVella
capitol of Angola?	Luanda
capitol of AntiguaandBarbuda?	SaintJohn's
capitol of Argentina?	BuenosAires
capitol of Armenia?	Yerevan
capitol of Australia?	Canberra
capitol of Austria?	Vienna
capitol of Azerbaijan?	Baku
capitol of Bahamas?	Nassau
capitol of Bahrain?	Manama
capitol of Bangladeh?	Dhaka
capitol of Barbados?	Bridgetown
capitol of Belarus?	Minsk
capitol of Belgium?	Brussels
capitol of Belize?	Belmopan
capitol of Benin?	Porto-Novo
capitol of Bhutan?	Thimphu
capitol of Bolivia?	Sucre(dejure)
capitol of LaPaz?   seatofgovernment
capitol of Bosniaand Herzegovina?	Sarajevo
capitol of Botswana?	Gaborone
capitol of Brazil?	Brasilia
capitol of Brunei?	BandarSeriBegawan
capitol of Bulgaria?	Sofia
capitol of Burkina?	FasoOuagadougou
capitol of Burundi?	Gitega
capitol of CaboVerde?	Praia
capitol of Cambodia?	PhnomPenh
capitol of Cameroon?	Yaounde
capitol of Canada?	Ottawa
capitol of CentralAfricanRepublic?	Bangui
capitol of Chad?	N'Djamena
capitol of Chile?	(Santiago)
capitol of China?	Beijing
capitol of Colombia?	Bogotá
capitol of Comoros?	Moroni
capitol of Congo?DemocraticRepublicofthe	Kinshasa
capitol of CongoRepublic?	Brazzaville
capitol of CostaRica?	SanJose
capitol of Coted'Ivoire?	Yamoussoukro
capitol of Croatia?	Zagreb
capitol of Cuba?	Havana
capitol of Cyprus?	Nicosia
capitol of Czechia?Prague
capitol of Denmark?	Copenhagen
capitol of Djibouti?    Djibouti(city)
capitol of Dominica?	Roseau
capitol of DominicanRepublic?	SantoDomingo

